DATETIME_10M,HOST,CNT
20181102181000,gcs4,3
20181102185000,hadoop04,1
20181103012000,tsdn-svr1,186
20181103013000,tsdn-db,158
20181102140000,gcs1,4399
20181102150000,gcs7,135
20181102081000,gcs3,3
20181102081000,hadoop04,1
20181103061000,dn03,1
20181102211000,KVMHost01,1
20181102215000,hadoop04,1
20181103040000,platform2,1414
20181102112000,hadoop02,1
20181102125000,gcs2,3
20181102203000,DB-01,1
20181102204000,hadoop04,1
20181103020000,ans41,60
20181102155000,gcs5,3
20181103013000,gcs5,3
20181103013000,dn03,1
20181102105000,ans41,46
20181103071000,gcs7,105
20181102175000,dn02,1
20181102085000,ans41,46
20181102143000,gcs3,3
20181103044000,ans41,46
20181102215000,hadoop01,1
20181103083000,KVMHost01,1
20181103093000,hadoop03,1
20181102190000,gcs1,4399
20181102125000,gcs1,4325
20181102125000,gcs4,3
20181102125000,hadoop01,1
20181103010000,dn02,9
20181102082000,hadoop03,1
20181102204000,KVMHost02,8
20181102092000,DB-01,1
20181103042000,dn02,1
20181103085000,DB-01,1
20181102220000,tsdn-db,152
20181102221000,hadoop04,1
20181102224000,platform2,1441
20181103090000,dn02,6
20181102170000,dn02,6
20181102170000,gcs5,24
20181102190000,gcs3,27
20181102081000,hadoop02,1
20181102183000,dn03,1
20181102185000,gcs1,4296
20181103000000,DB-01,9
20181103080000,KVMHost02,16
20181102211000,gcs6,3
20181103074000,tsdn-db,164
20181103075000,gcs7,105
20181102132000,gcs4,3
20181103055000,dn02,1
20181103012000,platform2,1488
20181103020000,KVMHost01,9
20181102204000,gcs7,105
20181103081000,hadoop03,1
20181102151000,gcs6,3
20181102153000,hadoop02,1
20181102193000,gcs7,105
20181103005000,platform2,1417
20181102185000,DB-01,1
20181102140000,tsdn-db,152
20181103024000,gcs1,4325
20181103024000,gcs3,3
20181103043000,gcs2,3
20181102222000,gcs5,3
20181103054000,tsdn-db,158
20181103035000,dn03,1
20181103074000,dn03,1
20181102180000,gcs4,27
20181102152000,gcs6,3
20181102154000,gcs2,3
20181102080000,gcs2,5
20181102081000,gcs5,3
20181103081000,gcs4,3
20181103082000,gcs5,3
20181103085000,hadoop01,1
20181102143000,hadoop03,1
20181103013000,gcs1,4325
20181103034000,hadoop02,1
20181103000000,gcs6,29
20181103002000,hadoop02,1
20181102161000,gcs5,3
20181102162000,tsdn-db,219
20181102132000,KVMHost02,8
20181102225000,ans41,46
20181102101000,hadoop04,1
20181102185000,hadoop03,1
20181103021000,hadoop03,1
20181102214000,gcs2,3
20181102173000,gcs1,4292
20181102175000,gcs5,3
20181103013000,hadoop01,1
20181103044000,gcs4,3
20181102191000,tsdn-svr1,168
20181102194000,gcs3,3
20181102234000,ans41,46
20181102103000,dn03,1
20181103080000,gcs7,135
20181103030000,tsdn-db,170
20181103032000,gcs1,4292
20181103001000,gcs6,3
20181102092000,KVMHost01,1
20181102224000,gcs5,3
20181102225000,hadoop01,1
20181102160000,hadoop02,6
20181102161000,gcs4,3
20181102175000,dn03,1
20181102085000,gcs3,3
20181102230000,DB-01,6
20181102154000,hadoop03,1
20181102181000,tsdn-svr1,88
20181102204000,hadoop02,1
20181103041000,gcs6,3
20181102093000,hadoop01,1
20181103054000,dn02,1
20181103092000,KVMHost01,1
20181102215000,hadoop03,1
20181102190000,tsdn-svr1,286
20181102193000,gcs4,3
20181103013000,KVMHost02,4
20181103014000,hadoop02,1
20181102120000,hadoop01,6
20181102123000,gcs6,3
20181102145000,hadoop04,1
20181103033000,dn03,1
20181102082000,hadoop02,1
20181103082000,hadoop04,1
20181102133000,tsdn-svr1,64
20181103040000,gcs3,27
20181103050000,hadoop03,6
20181102135000,platform2,1417
20181102192000,gcs1,4325
20181102155000,gcs3,3
20181103014000,tsdn-svr1,163
20181102124000,KVMHost02,8
20181102173000,gcs7,105
20181102083000,dn02,1
20181102203000,gcs6,3
20181102222000,platform2,1420
20181102103000,gcs6,3
20181103051000,hadoop02,1
20181103053000,KVMHost02,4
20181103054000,gcs4,3
20181103060000,hadoop03,6
20181102210000,tsdn-db,155
20181102215000,gcs7,105
20181102124000,gcs5,3
20181103000000,gcs5,26
20181102203000,tsdn-svr1,230
20181102172000,hadoop01,1
20181103040000,KVMHost02,16
20181102085000,hadoop03,1
20181102132000,hadoop01,1
